-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,15,64,124600812,1000000,41519,0.041519,522.628201
1,15,15,64,124646803,1000000,41255,0.041255,521.0366909999999
2,15,15,64,124616991,1000000,41439,0.041439,521.835127
3,15,15,64,124663613,1000000,41024,0.041024,520.9800789999999
4,15,15,64,124627067,1000000,41368,0.041368,521.6006729999999
5,15,15,64,124643656,1000000,41358,0.041358,520.683254
6,15,15,64,124633703,1000000,41295,0.041295,529.9176630000002
7,15,15,64,124613355,1000000,41451,0.041451,529.9213129999998
8,15,15,64,124647699,1000000,41022,0.041022,534.3891780000004
9,15,15,64,124670034,1000000,41227,0.041227,536.0515850000002
10,15,15,64,124686561,1000000,40975,0.040975,530.1790019999999
11,15,15,64,124631571,1000000,41332,0.041332,520.129723
12,15,15,64,124668724,1000000,41071,0.041071,517.5492269999995
13,15,15,64,124631545,1000000,41269,0.041269,520.7305319999996
14,15,15,64,124646535,1000000,41065,0.041065,520.7220509999997
15,15,15,64,124637938,1000000,41421,0.041421,521.5667669999993
16,15,15,64,124626462,1000000,41358,0.041358,521.2400049999997
17,15,15,64,124596561,1000000,41653,0.041653,520.6725490000008
18,15,15,64,124654850,1000000,41305,0.041305,519.8509599999998
19,15,15,64,124643563,1000000,41126,0.041126,519.203254
20,15,15,64,124606503,1000000,41570,0.04157,521.5413630000003
21,15,15,64,124620553,1000000,41414,0.041414,521.442672000001
22,15,15,64,124646540,1000000,41342,0.041342,519.0965930000002
23,15,15,64,124641731,1000000,41218,0.041218,522.7322240000012
24,15,15,64,124614965,1000000,41398,0.041398,522.1892279999993
25,15,15,64,124659562,1000000,40930,0.04093,521.0777760000001
26,15,15,64,124666974,1000000,41088,0.041088,522.6200370000006
27,15,15,64,124635891,1000000,41380,0.04138,526.5234880000007
28,15,15,64,124655902,1000000,41330,0.04133,532.8928379999998
29,15,15,64,124656097,1000000,41020,0.04102,527.7906409999996
30,15,15,64,124622895,1000000,41214,0.041214,520.4654019999998
31,15,15,64,124610734,1000000,41289,0.041289,519.6991849999995
32,15,15,64,124614214,1000000,41478,0.041478,517.7277880000001
33,15,15,64,124625668,1000000,41211,0.041211,517.9216419999975
34,15,15,64,124641709,1000000,41167,0.041167,533.8258310000019
35,15,15,64,124632681,1000000,41378,0.041378,530.8075539999991
36,15,15,64,124647510,1000000,41290,0.04129,529.2222509999992
37,15,15,64,124663885,1000000,41142,0.041142,524.5531199999969
38,15,15,64,124646501,1000000,41310,0.04131,524.069442
39,15,15,64,124631974,1000000,41311,0.041311,522.7969530000009
40,15,15,64,124639423,1000000,41123,0.041123,527.6377030000003
41,15,15,64,124649486,1000000,41235,0.041235,524.3748599999999
42,15,15,64,124645244,1000000,41015,0.041015,527.9890169999999
