-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,55,64,129967199,1000000,210,0.00021,591.1812099999988
1,15,55,64,129969219,1000000,209,0.000209,589.5942759999998
2,15,55,64,129964548,1000000,218,0.000218,590.509422000001
3,15,55,64,129950852,1000000,207,0.000207,589.429098999999
4,15,55,64,129976767,1000000,224,0.000224,585.6948929999999
5,15,55,64,129985031,1000000,207,0.000207,586.5251740000003
6,15,55,64,129972490,1000000,207,0.000207,588.953947
7,15,55,64,129985748,1000000,210,0.00021,587.5955819999999
8,15,55,64,129959247,1000000,229,0.000229,585.7641399999993
9,15,55,64,129945655,1000000,216,0.000216,585.4118229999985
-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,55,64,129967199,1000000,210,0.00021,537.5684520000068
1,15,55,64,129969219,1000000,209,0.000209,537.4761270000017
2,15,55,64,129964548,1000000,218,0.000218,536.4151209999982
3,15,55,64,129950852,1000000,207,0.000207,535.1268839999975
4,15,55,64,129976767,1000000,224,0.000224,538.0424029999995
5,15,55,64,129985031,1000000,207,0.000207,536.8354850000178
6,15,55,64,129972490,1000000,207,0.000207,538.2412469999981
7,15,55,64,129985748,1000000,210,0.00021,537.5135410000221
8,15,55,64,129959247,1000000,229,0.000229,536.8608710000117
9,15,55,64,129945655,1000000,216,0.000216,538.3553880000254
10,15,55,64,129973736,1000000,226,0.000226,537.4261100000003
11,15,55,64,129974713,1000000,229,0.000229,537.7620329999772
12,15,55,64,129988172,1000000,214,0.000214,538.725351000001
13,15,55,64,129945773,1000000,196,0.000196,536.0792880000081
14,15,55,64,129991760,1000000,215,0.000215,536.2791189999843
15,15,55,64,130000880,1000000,243,0.000243,535.849350000004
