-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,65,64,129996069,1000000,58,5.8e-05,587.024894000002
1,15,65,64,129975218,1000000,65,6.5e-05,583.213033
2,15,65,64,129998408,1000000,62,6.2e-05,587.7930930000002
3,15,65,64,129960097,1000000,66,6.6e-05,599.0723969999999
4,15,65,64,129993982,1000000,72,7.2e-05,608.9467389999991
5,15,65,64,130009546,1000000,61,6.1e-05,616.5918380000003
6,15,65,64,130004503,1000000,72,7.2e-05,619.6740199999986
7,15,65,64,129985068,1000000,60,6e-05,623.7004740000011
8,15,65,64,129971136,1000000,70,7e-05,620.6680460000025
9,15,65,64,129985049,1000000,50,5e-05,621.5695890000025
-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,65,64,129996069,1000000,58,5.8e-05,551.4727399999974
1,15,65,64,129975218,1000000,65,6.5e-05,563.1126839999924
2,15,65,64,129998408,1000000,62,6.2e-05,563.3621949999942
3,15,65,64,129960097,1000000,66,6.6e-05,558.8304789999966
4,15,65,64,129993982,1000000,72,7.2e-05,558.64802100003
5,15,65,64,130009546,1000000,61,6.1e-05,546.220140999998
6,15,65,64,130004503,1000000,72,7.2e-05,535.5185050000437
7,15,65,64,129985068,1000000,60,6e-05,533.1130270000431
8,15,65,64,129971136,1000000,70,7e-05,534.9707310000085
9,15,65,64,129985049,1000000,50,5e-05,548.9315760000027
10,15,65,64,129982043,1000000,66,6.6e-05,561.6667230000021
11,15,65,64,129999157,1000000,65,6.5e-05,561.5314230000367
12,15,65,64,130015506,1000000,52,5.2e-05,540.8449449999607
13,15,65,64,130001296,1000000,54,5.4e-05,540.8941939999931
14,15,65,64,130004526,1000000,76,7.6e-05,540.4834489999921
15,15,65,64,130030180,1000000,72,7.2e-05,541.2770779999555
16,15,65,64,129988835,1000000,73,7.3e-05,545.6236529999878
17,15,65,64,129999338,1000000,59,5.9e-05,548.9668400000082
18,15,65,64,129986084,1000000,55,5.5e-05,539.0687689999468
19,15,65,64,129968619,1000000,59,5.9e-05,545.4685049999971
20,15,65,64,130005287,1000000,62,6.2e-05,543.644616000005
21,15,65,64,129968484,1000000,59,5.9e-05,543.634812000033
22,15,65,64,129993309,1000000,53,5.3e-05,543.5803250000463
23,15,65,64,129974759,1000000,62,6.2e-05,537.2651390000246
24,15,65,64,129987081,1000000,65,6.5e-05,535.65236800001
25,15,65,64,130000371,1000000,66,6.6e-05,537.5447779999813
26,15,65,64,129951117,1000000,59,5.9e-05,535.5945860000211
27,15,65,64,129995393,1000000,66,6.6e-05,535.0663570000324
28,15,65,64,130017345,1000000,69,6.9e-05,536.9784070000169
29,15,65,64,129990076,1000000,55,5.5e-05,535.4014429999515
30,15,65,64,130003134,1000000,53,5.3e-05,535.7843970000395
31,15,65,64,129970066,1000000,70,7e-05,536.0660730000236
32,15,65,64,129982495,1000000,45,4.5e-05,533.0509090000414
33,15,65,64,129978207,1000000,66,6.6e-05,535.195476999972
34,15,65,64,129987412,1000000,64,6.4e-05,538.3951550000347
35,15,65,64,129997880,1000000,50,5e-05,536.0842019999982
36,15,65,64,129993443,1000000,65,6.5e-05,536.9636700000265
37,15,65,64,130010260,1000000,47,4.7e-05,535.7370729999966
38,15,65,64,130006434,1000000,63,6.3e-05,535.086163000029
39,15,65,64,130006384,1000000,71,7.1e-05,535.4494360000244
40,15,65,64,129978175,1000000,53,5.3e-05,535.9301919999998
41,15,65,64,129996818,1000000,56,5.6e-05,535.2254589999793
42,15,65,64,129974837,1000000,54,5.4e-05,537.3603170000133
43,15,65,64,129973742,1000000,55,5.5e-05,534.9080630000099
44,15,65,64,130028407,1000000,72,7.2e-05,535.8003049999825
45,15,65,64,129977641,1000000,62,6.2e-05,536.5316520000342
46,15,65,64,129972122,1000000,72,7.2e-05,536.1774020000012
47,15,65,64,129973880,1000000,64,6.4e-05,536.23345900001
48,15,65,64,130011911,1000000,54,5.4e-05,536.7388399999472
49,15,65,64,130010998,1000000,64,6.4e-05,535.0566000000108
50,15,65,64,129996284,1000000,59,5.9e-05,536.2743379999883
51,15,65,64,129999150,1000000,49,4.9e-05,534.8825660000439
52,15,65,64,130011464,1000000,69,6.9e-05,536.2656970000244
53,15,65,64,129957813,1000000,55,5.5e-05,536.9295719999936
54,15,65,64,130013541,1000000,64,6.4e-05,535.4451030000346
55,15,65,64,129980121,1000000,77,7.7e-05,536.2757439999841
56,15,65,64,130005506,1000000,59,5.9e-05,535.3610319999862
57,15,65,64,130009040,1000000,54,5.4e-05,536.0999420000007
58,15,65,64,129961154,1000000,59,5.9e-05,537.0443930000183
59,15,65,64,130002289,1000000,65,6.5e-05,537.5616850000224
60,15,65,64,130011960,1000000,68,6.8e-05,537.6869650000008
61,15,65,64,130010458,1000000,68,6.8e-05,537.6663300000364
62,15,65,64,130016253,1000000,54,5.4e-05,535.4086189999944
63,15,65,64,129977120,1000000,71,7.1e-05,535.2860460000229
64,15,65,64,130006141,1000000,76,7.6e-05,535.3799129999825
65,15,65,64,129995154,1000000,67,6.7e-05,536.8130900000106
66,15,65,64,130006859,1000000,57,5.7e-05,535.0596539999824
67,15,65,64,130005797,1000000,74,7.4e-05,536.2338340000133
68,15,65,64,129965250,1000000,60,6e-05,534.3907300000428
69,15,65,64,130014180,1000000,74,7.4e-05,537.5536640000064
70,15,65,64,129985005,1000000,71,7.1e-05,535.8160570000182
71,15,65,64,130000572,1000000,48,4.8e-05,534.9453680000152
72,15,65,64,129985802,1000000,59,5.9e-05,537.7716530000325
73,15,65,64,130006035,1000000,55,5.5e-05,533.2662119999877
74,15,65,64,129989912,1000000,55,5.5e-05,533.700318999996
75,15,65,64,130007461,1000000,61,6.1e-05,536.7524989999947
76,15,65,64,130006972,1000000,61,6.1e-05,536.0473970000166
77,15,65,64,129973627,1000000,76,7.6e-05,538.1255489999894
78,15,65,64,129987332,1000000,67,6.7e-05,534.9526279999991
79,15,65,64,129977308,1000000,78,7.8e-05,534.4378470000229
80,15,65,64,130006645,1000000,63,6.3e-05,534.4659180000308
81,15,65,64,129990202,1000000,60,6e-05,534.3792169999797
82,15,65,64,129982864,1000000,53,5.3e-05,534.9640750000253
83,15,65,64,129975786,1000000,59,5.9e-05,533.0032559999963
84,15,65,64,130008579,1000000,70,7e-05,534.4052659999579
85,15,65,64,130003387,1000000,69,6.9e-05,534.5387939999928
86,15,65,64,130010649,1000000,57,5.7e-05,534.0064300000085
87,15,65,64,129969604,1000000,56,5.6e-05,533.167809000006
88,15,65,64,129959255,1000000,63,6.3e-05,533.6070910000126
89,15,65,64,129980681,1000000,60,6e-05,534.725037999975
90,15,65,64,130005135,1000000,63,6.3e-05,536.529235999973
91,15,65,64,130000199,1000000,70,7e-05,537.6902279999922
92,15,65,64,130011200,1000000,54,5.4e-05,537.4783499999903
93,15,65,64,129986586,1000000,61,6.1e-05,535.2781730000279
94,15,65,64,129978243,1000000,67,6.7e-05,536.2716510000173
95,15,65,64,129973478,1000000,60,6e-05,534.7982770000235
96,15,65,64,129961087,1000000,67,6.7e-05,534.5863769999705
97,15,65,64,129998602,1000000,55,5.5e-05,548.5478270000312
98,15,65,64,129999315,1000000,53,5.3e-05,540.5376040000119
