-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,25,64,128686778,1000000,10525,0.010525,536.8743759999998
1,15,25,64,128674195,1000000,10542,0.010542,536.713023999997
2,15,25,64,128664923,1000000,10637,0.010637,537.9020149999997
3,15,25,64,128674859,1000000,10444,0.010444,536.5857479999977
4,15,25,64,128649854,1000000,10508,0.010508,537.9599299999973
5,15,25,64,128671911,1000000,10686,0.010686,536.729938000004
6,15,25,64,128667248,1000000,10523,0.010523,535.9569059999994
7,15,25,64,128643085,1000000,10774,0.010774,538.1412869999986
8,15,25,64,128637824,1000000,10499,0.010499,536.8899529999981
9,15,25,64,128636697,1000000,10647,0.010647,535.9000940000042
