-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,65,64,129996069,1000000,58,5.8e-05,587.024894000002
1,15,65,64,129975218,1000000,65,6.5e-05,583.213033
2,15,65,64,129998408,1000000,62,6.2e-05,587.7930930000002
3,15,65,64,129960097,1000000,66,6.6e-05,599.0723969999999
4,15,65,64,129993982,1000000,72,7.2e-05,608.9467389999991
5,15,65,64,130009546,1000000,61,6.1e-05,616.5918380000003
6,15,65,64,130004503,1000000,72,7.2e-05,619.6740199999986
7,15,65,64,129985068,1000000,60,6e-05,623.7004740000011
8,15,65,64,129971136,1000000,70,7e-05,620.6680460000025
9,15,65,64,129985049,1000000,50,5e-05,621.5695890000025
