-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,45,64,129905643,1000000,778,0.000778,605.1875660000005
1,15,45,64,129903657,1000000,836,0.000836,604.5651239999997
2,15,45,64,129903670,1000000,840,0.00084,601.2268730000005
3,15,45,64,129888399,1000000,755,0.000755,602.5558020000008
4,15,45,64,129914266,1000000,724,0.000724,604.0203000000001
5,15,45,64,129929819,1000000,803,0.000803,602.4278350000004
6,15,45,64,129912483,1000000,722,0.000722,602.8809550000005
7,15,45,64,129918696,1000000,776,0.000776,600.1852520000011
8,15,45,64,129889893,1000000,792,0.000792,598.927635
9,15,45,64,129886010,1000000,792,0.000792,593.3454839999995
