-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,35,64,129668945,1000000,2804,0.002804,621.668535
1,15,35,64,129630396,1000000,2829,0.002829,629.893317
2,15,35,64,129647164,1000000,2898,0.002898,628.5704780000001
3,15,35,64,129638038,1000000,2742,0.002742,625.3470070000001
4,15,35,64,129680238,1000000,2705,0.002705,624.2000010000002
5,15,35,64,129678957,1000000,2929,0.002929,625.1022050000001
6,15,35,64,129653842,1000000,2832,0.002832,620.6490039999999
7,15,35,64,129645602,1000000,2860,0.00286,608.3647360000004
8,15,35,64,129642853,1000000,2842,0.002842,603.7132430000001
9,15,35,64,129627069,1000000,2812,0.002812,602.6419450000003
