-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,35,25,64,128653006,1000000,10286,0.010286,847.312728
1,35,25,64,128667931,1000000,10254,0.010254,847.395338
2,35,25,64,128635483,1000000,10547,0.010547,846.9036780000001
3,35,25,64,128644089,1000000,10179,0.010179,848.0353890000001
4,35,25,64,128638727,1000000,10357,0.010357,848.9929980000006
5,35,25,64,128662931,1000000,10461,0.010461,848.6909660000001
6,35,25,64,128635166,1000000,10449,0.010449,847.2281040000007
7,35,25,64,128626524,1000000,10370,0.01037,846.7915829999993
8,35,25,64,128646217,1000000,10160,0.01016,847.498251
9,35,25,64,128601908,1000000,10499,0.010499,848.0257650000003
-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,35,25,64,128653006,1000000,10286,0.010286,892.0874830000103
1,35,25,64,128667931,1000000,10254,0.010254,892.0842429999902
2,35,25,64,128635483,1000000,10547,0.010547,893.6245060000074
3,35,25,64,128644089,1000000,10179,0.010179,892.9739929999923
4,35,25,64,128638727,1000000,10357,0.010357,892.5625480000017
5,35,25,64,128662931,1000000,10461,0.010461,894.1856879999978
6,35,25,64,128635166,1000000,10449,0.010449,893.9731509999983
7,35,25,64,128626524,1000000,10370,0.01037,892.6573159999971
8,35,25,64,128646217,1000000,10160,0.01016,893.6458869999915
9,35,25,64,128601908,1000000,10499,0.010499,891.6677029999992
10,35,25,64,128679514,1000000,10117,0.010117,891.3358500000031
11,35,25,64,128664656,1000000,10382,0.010382,894.0339879999956
12,35,25,64,128671597,1000000,10395,0.010395,892.6661350000068
13,35,25,64,128616667,1000000,10478,0.010478,893.5257100000017
14,35,25,64,128623419,1000000,10426,0.010426,892.2783709999931
15,35,25,64,128682862,1000000,10363,0.010363,894.0629259999987
16,35,25,64,128654820,1000000,10322,0.010322,894.0321439999971
17,35,25,64,128664387,1000000,10286,0.010286,892.6570360000042
18,35,25,64,128668730,1000000,10390,0.01039,891.3165299999964
19,35,25,64,128625919,1000000,10410,0.01041,893.3372890000028
20,35,25,64,128632183,1000000,10424,0.010424,893.4994569999981
21,35,25,64,128653586,1000000,10170,0.01017,892.5716819999943
22,35,25,64,128627635,1000000,10566,0.010566,890.5587749999977
23,35,25,64,128643755,1000000,10307,0.010307,892.2061949999916
24,35,25,64,128599809,1000000,10536,0.010536,892.6552479999955
25,35,25,64,128641230,1000000,10282,0.010282,892.452283000006
26,35,25,64,128605262,1000000,10352,0.010352,891.6583309999987
27,35,25,64,128630224,1000000,10376,0.010376,891.9756170000037
28,35,25,64,128662566,1000000,10335,0.010335,893.0227889999951
29,35,25,64,128613834,1000000,10398,0.010398,892.391843999998
30,35,25,64,128626693,1000000,10390,0.01039,892.5025049999967
31,35,25,64,128619431,1000000,10262,0.010262,892.5231579999963
32,35,25,64,128671512,1000000,10345,0.010345,893.0012080000015
33,35,25,64,128620540,1000000,10424,0.010424,893.6600910000125
34,35,25,64,128617292,1000000,10461,0.010461,892.1730990000069
35,35,25,64,128643780,1000000,10246,0.010246,889.6890330000024
36,35,25,64,128634493,1000000,10484,0.010484,893.0045109999919
37,35,25,64,128680873,1000000,10308,0.010308,893.0406550000043
38,35,25,64,128667600,1000000,10271,0.010271,894.460626
39,35,25,64,128659197,1000000,10366,0.010366,892.5182849999983
40,35,25,64,128633499,1000000,10485,0.010485,893.0004130000016
41,35,25,64,128654135,1000000,10439,0.010439,893.6762500000041
42,35,25,64,128628213,1000000,10345,0.010345,892.2356319999963
43,35,25,64,128650420,1000000,10117,0.010117,893.1898980000115
44,35,25,64,128644240,1000000,10238,0.010238,888.8308439999964
45,35,25,64,128633069,1000000,10373,0.010373,894.0468790000014
46,35,25,64,128649532,1000000,10309,0.010309,891.4748139999865
47,35,25,64,128612440,1000000,10414,0.010414,892.249278999996
48,35,25,64,128648142,1000000,10505,0.010505,893.0353109999996
49,35,25,64,128666489,1000000,10259,0.010259,893.3845560000045
50,35,25,64,128665988,1000000,10256,0.010256,893.4256730000197
51,35,25,64,128648686,1000000,10480,0.01048,892.5729270000011
52,35,25,64,128656370,1000000,10322,0.010322,893.0603839999822
53,35,25,64,128620997,1000000,10300,0.0103,891.3335770000122
54,35,25,64,128641223,1000000,10335,0.010335,892.4203339999949
55,35,25,64,128632058,1000000,10365,0.010365,894.0068320000137
56,35,25,64,128649680,1000000,10455,0.010455,893.3707419999992
57,35,25,64,128667387,1000000,10408,0.010408,893.6926529999764
58,35,25,64,128622875,1000000,10289,0.010289,891.9489260000119
59,35,25,64,128682995,1000000,10184,0.010184,892.506927999988
60,35,25,64,128635209,1000000,10638,0.010638,893.0763119999901
61,35,25,64,128641890,1000000,10398,0.010398,893.563679999992
62,35,25,64,128638276,1000000,10431,0.010431,894.7431250000081
63,35,25,64,128645537,1000000,10228,0.010228,893.2013830000069
64,35,25,64,128656518,1000000,10389,0.010389,894.0246140000236
65,35,25,64,128653692,1000000,10321,0.010321,893.5681590000167
66,35,25,64,128684104,1000000,10229,0.010229,892.9121169999999
67,35,25,64,128659901,1000000,10214,0.010214,893.0738639999763
68,35,25,64,128628338,1000000,10285,0.010285,893.4186880000052
69,35,25,64,128667989,1000000,10277,0.010277,893.1279570000188
70,35,25,64,128642816,1000000,10496,0.010496,893.7058660000039
71,35,25,64,128695219,1000000,10185,0.010185,894.0159520000161
72,35,25,64,128637315,1000000,10348,0.010348,892.5497329999926
73,35,25,64,128676123,1000000,10484,0.010484,893.3542390000075
74,35,25,64,128623198,1000000,10432,0.010432,891.8944130000018
75,35,25,64,128665772,1000000,10327,0.010327,892.0880170000019
76,35,25,64,128642570,1000000,10262,0.010262,891.7211719999905
77,35,25,64,128626876,1000000,10425,0.010425,892.0421050000004
78,35,25,64,128651138,1000000,10364,0.010364,893.4504200000083
79,35,25,64,128628831,1000000,10352,0.010352,894.5657789999968
80,35,25,64,128613956,1000000,10432,0.010432,891.9704260000144
81,35,25,64,128662044,1000000,10281,0.010281,893.6317280000076
82,35,25,64,128630648,1000000,10352,0.010352,891.7212360000121
83,35,25,64,128642025,1000000,10313,0.010313,893.1275000000023
84,35,25,64,128672055,1000000,10364,0.010364,893.9439009999915
85,35,25,64,128652792,1000000,10504,0.010504,894.0909459999821
86,35,25,64,128635377,1000000,10489,0.010489,894.0398289999866
87,35,25,64,128645419,1000000,10288,0.010288,893.9231490000093
88,35,25,64,128598823,1000000,10424,0.010424,894.0170520000102
89,35,25,64,128621759,1000000,10350,0.01035,893.4833090000029
90,35,25,64,128664832,1000000,10276,0.010276,893.756091999996
91,35,25,64,128660477,1000000,10336,0.010336,893.3426120000076
92,35,25,64,128668201,1000000,10391,0.010391,893.1845950000279
93,35,25,64,128646695,1000000,10344,0.010344,891.6940400000021
94,35,25,64,128664096,1000000,10332,0.010332,893.8566119999741
95,35,25,64,128619827,1000000,10271,0.010271,892.0900329999859
96,35,25,64,128633516,1000000,10346,0.010346,893.6690020000096
97,35,25,64,128665110,1000000,10282,0.010282,893.4771039999905
98,35,25,64,128666445,1000000,10266,0.010266,892.6060920000018
99,35,25,64,128669189,1000000,10253,0.010253,891.9398270000238
