-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,55,25,64,128655542,1000000,10259,0.010259,2067.058383
1,55,25,64,128660292,1000000,10330,0.01033,2071.393444
2,55,25,64,128639475,1000000,10500,0.0105,2068.8047030000007
3,55,25,64,128651397,1000000,10184,0.010184,2073.5144120000004
4,55,25,64,128650402,1000000,10284,0.010284,2071.202507
5,55,25,64,128657059,1000000,10469,0.010469,2072.6593269999994
6,55,25,64,128633239,1000000,10390,0.01039,2068.8067360000005
7,55,25,64,128629168,1000000,10353,0.010353,2069.9935300000016
8,55,25,64,128651124,1000000,10137,0.010137,2071.2747170000002
9,55,25,64,128600689,1000000,10522,0.010522,2062.576850999998
