-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,55,55,64,129962560,1000000,207,0.000207,2069.4737349999996
1,55,55,64,129965633,1000000,210,0.00021,2070.057857999993
2,55,55,64,129964494,1000000,217,0.000217,2070.801287999988
3,55,55,64,129946874,1000000,207,0.000207,2070.4618060000066
4,55,55,64,129978356,1000000,220,0.00022,2077.5258480000048
5,55,55,64,129984411,1000000,205,0.000205,2074.8697510000056
6,55,55,64,129971376,1000000,204,0.000204,2074.3580199999997
7,55,55,64,129982692,1000000,212,0.000212,2076.908135000005
8,55,55,64,129953759,1000000,230,0.00023,2070.484520999991
9,55,55,64,129940496,1000000,222,0.000222,2069.6012019999907
