blockHeight,gasLimit,gasUsed
5900048.0,181946.9568598213,267433.37509417144,0.6803449898343924
5900148.0,405580.2858785937,591414.3021678594,0.6857803140571987
5900248.0,225950.67017322616,316061.8451263512,0.7148938527613115
5900348.0,186327.9779747985,291572.1758090847,0.6390458124399432
5900448.0,182165.81211626704,253716.57249914613,0.7179894096861966
5900548.0,250771.96032179883,359643.5129787397,0.6972792536831415
5900648.0,288614.09010285337,411430.96918757906,0.7014884919158062
5900748.0,279515.26453095605,491799.39603664423,0.5683521915308111
5900848.0,200959.05809060668,257721.59394233418,0.7797525035312786
5900948.0,214829.41477521983,372538.452348809,0.576663733423347
5901048.0,416968.4992553789,643400.0686604921,0.6480703368954782
5901148.0,224905.42363386892,345492.5367791288,0.6509704253833117
5901248.0,195339.2068310117,307040.85270898015,0.6361994018306038
5901348.0,417029.74661237316,603753.890858523,0.6907280481776561
5901448.0,206285.1572047823,364108.9701509137,0.5665478582394783
5901548.0,330606.8977870346,583389.2749242943,0.5667003354320099
5901648.0,207892.97241138856,325886.93541503145,0.6379297536018977
5901748.0,314404.91574615263,425229.2750835678,0.7393773998376865
5901848.0,379628.0133686303,523578.4163935241,0.725064291197405
5901948.0,292877.9692681366,483527.22927591205,0.6057114295439472
5902048.0,307386.3359662475,442354.1826396706,0.6948873731270578
5902148.0,289677.5094407295,412626.58112911746,0.7020330795172034
5902248.0,168410.47662313454,388573.9063847972,0.43340655112430765
5902348.0,354323.4301657051,588584.6831552525,0.6019922711312627
5902448.0,233958.93492504532,339091.66282041674,0.6899577918816311
5902548.0,246422.42953022293,338461.6082401985,0.7280661189653821
5902648.0,204866.22801688564,292938.97048760665,0.6993478118526838
5902748.0,266471.50943670655,384183.630183121,0.6936045383029281
5902848.0,205411.89913450312,299008.1974308297,0.6869774838933022
5902948.0,179239.43305765622,273849.58151713235,0.654517827139505
5903048.0,196013.14719329294,281195.03771629673,0.6970718572603494
5903148.0,144207.2993960048,219835.11270279574,0.6559793730083722
