blockHeight,numTxns,numContTxns,numIntContTxn,intContRatio,totalContRation
6502500.0,87.2374,51.5468,20.8338,0.23881729625137843,0.590879599804671
6507500.0,89.724,52.914,16.6104,0.1851277250234051,0.5897418750835897
6512500.0,86.4122,51.2398,15.859,0.18352732600257834,0.592969511249569
6517500.0,92.591,50.4774,17.7228,0.1914095322439546,0.5451652968431057
6522500.0,87.8918,48.0846,17.0236,0.19368814838244297,0.5470885793669034
6527500.0,91.1808,52.585,17.5166,0.19210842633536884,0.5767113251912683
6532500.0,94.223,52.391,17.1644,0.18216783587871327,0.5560319667172559
6537500.0,97.8166,53.8982,16.0106,0.16367978441287062,0.5510128137759849
6542500.0,98.2284,57.5064,15.6262,0.15908026599231995,0.5854355766763991
6547500.0,92.2718,53.668,15.0738,0.16336302098799416,0.5816294902667988
