hE,h,sE,s
0.0,0.3297630187360916,0.3297630187360916,0.3297630187360916,0.3297630187360916
0.2,0.32976237275084375,0.3297623550526356,0.33562973230257226,0.33578973890656
0.5,0.3297614037753448,0.32976128842130836,0.3443335935512551,0.3453621375319831
1,0.329759788822507,0.3297592919155327,0.35858720166242286,0.3629102299194208
2,0.32975655894055833,0.329754209955375,0.3861709488112323,0.40548331042577324
4,0.32975009927156734,0.3297353347890394,0.43782836491139593,0.5401521531840787
