-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,55,15,64,124667513,1000000,40687,0.040687,1326.294962
1,55,15,64,124686430,1000000,40673,0.040673,1312.9557829999999
2,55,15,64,124679956,1000000,40565,0.040565,1243.7599810000002
3,55,15,64,124680291,1000000,40543,0.040543,1267.9825369999999
4,55,15,64,124688250,1000000,40393,0.040393,1219.816992
5,55,15,64,124699094,1000000,40581,0.040581,1289.3439500000004
6,55,15,64,124696499,1000000,40403,0.040403,1129.4296369999993
7,55,15,64,124669428,1000000,40778,0.040778,1245.1607010000007
8,55,15,64,124644569,1000000,40729,0.040729,1341.5483779999995
9,55,15,64,124712436,1000000,40388,0.040388,1276.5789029999996
