-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,55,35,64,129635844,1000000,2783,0.002783,2074.550464
1,55,35,64,129615433,1000000,2806,0.002806,2078.980581
2,55,35,64,129624714,1000000,2813,0.002813,2074.816992
3,55,35,64,129636400,1000000,2715,0.002715,2076.9863879999975
4,55,35,64,129645661,1000000,2725,0.002725,2074.998459000002
5,55,35,64,129647316,1000000,2877,0.002877,2076.727801000001
6,55,35,64,129630266,1000000,2756,0.002756,2076.306325999998
7,55,35,64,129624970,1000000,2856,0.002856,2075.7487309999997
8,55,35,64,129620005,1000000,2892,0.002892,2072.5968150000044
9,55,35,64,129605431,1000000,2809,0.002809,2074.9122720000014
