-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,45,25,64,128656573,1000000,10247,0.010247,847.5438849999991
1,45,25,64,128659375,1000000,10337,0.010337,847.7104029999973
2,45,25,64,128642738,1000000,10491,0.010491,848.5100299999976
3,45,25,64,128656641,1000000,10151,0.010151,845.8574460000018
4,45,25,64,128653604,1000000,10274,0.010274,845.6144859999986
5,45,25,64,128656975,1000000,10465,0.010465,848.4587020000035
6,45,25,64,128635654,1000000,10376,0.010376,847.5976319999972
7,45,25,64,128630209,1000000,10358,0.010358,846.7032160000017
8,45,25,64,128650384,1000000,10141,0.010141,847.1115150000041
9,45,25,64,128596264,1000000,10535,0.010535,845.6347769999993
