-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,25,45,64,129912855,1000000,770,0.00077,616.5895020000025
1,25,45,64,129895141,1000000,835,0.000835,608.2338530000052
2,25,45,64,129899923,1000000,844,0.000844,602.0883269999977
3,25,45,64,129883071,1000000,749,0.000749,599.2608409999957
4,25,45,64,129911827,1000000,700,0.0007,601.7010860000009
5,25,45,64,129931233,1000000,772,0.000772,599.7033690000026
6,25,45,64,129901740,1000000,739,0.000739,601.3519000000015
7,25,45,64,129922129,1000000,773,0.000773,603.0940379999956
8,25,45,64,129894464,1000000,793,0.000793,598.4879579999979
9,25,45,64,129883529,1000000,775,0.000775,600.220785000005
