delay,gasUsage,totalMainChain,totalMined,forkRate,frac1,cfi1,frac2,cfi2,frac3,cfi3
1,500,1000,1100,0.09090909090909094,0.06068516160505233,0.03753288019947228,0.07081232492997214,0.0578356098177444,0.053247863247863236,0.07242084370724892
2,500,1000,959,-0.04275286757038588,0.05217647417572202,0.019154250004491,1.0,0.0,0.17774547090336568,0.13461684657752976
4,500,1000,1078,0.07235621521335811,0.02437909030226515,0.01759942211830733,0.06252195871761079,0.04251849011022493,0.04718954248366014,0.027162001649455512
