delay,gasUsage,totalMainChain,totalMined,forkRate,frac1,cfi1,frac2,cfi2,frac3,cfi3
1,12,1000,1065,0.06103286384976525,0.020711462450592855,0.014287076888451145,0.02111111111111119,0.022524201699998667,0.020146520146520075,0.029345358694056276
1,120,1000,1254,0.20255183413078148,0.07858039449129728,0.03246927886682138,0.11597191051347056,0.047448455769090354,0.1692824871543408,0.03625461419018178
1,240,1000,1487,0.32750504371217215,0.1608158935749533,0.03490159819798852,0.33340455601478336,0.05694052579802106,0.33660249933133224,0.04780123022621568
