constTh,k15,cfi15,k25,cfi25,k35,cfi35,k45,cfi45,k55,cfi55,k65,cfi65
15,0.04129580000000001,0.00011505858168943319,0.04068710000000001,7.572630749188825e-05,0.04059020000000001,0.00011062627770283101,0.0405813,9.275581923870776e-05,0.040574,9.752866858519124e-05,0.0405751,9.481285721565428e-05
25,0.010578500000000001,6.955291380999085e-05,0.010337800000000001,7.393439649029405e-05,0.0103562,9.100147167724262e-05,0.0103375,9.225646794984067e-05,0.010342800000000003,8.856462303055313e-05,0.0103408,8.952994856998398e-05
35,0.0028253,4.502579041309549e-05,0.0028068,5.052196115813399e-05,0.0028024,4.389585702655779e-05,0.0028011,4.333421740144846e-05,0.0028031999999999996,4.0958817953451705e-05,0.0028019000000000004,4.1228572454015444e-05
45,0.0007818,2.739318423374691e-05,0.000775,2.8896994667266005e-05,0.0007733999999999999,2.704807249502263e-05,0.0007749,2.8784249968967408e-05,0.0007744,2.8503354204303757e-05,0.0007753,2.8103563554894603e-05
55,0.0002137,5.295689356825986e-06,0.0002149,6.022614823811996e-06,0.00021309999999999998,6.048048276593037e-06,0.00021280000000000002,5.8182228131964855e-06,0.0002134,5.8129439164678005e-06,0.00021329999999999998,5.559644449423005e-06
65,6.36e-05,4.681848235045641e-06,6.33e-05,4.444700494296549e-06,6.37e-05,4.647295377313561e-06,6.34e-05,4.3885131896805316e-06,,,6.33e-05,4.669263334188808e-06
