queueLen,mineAvgLate,mineCfi,resetAvgLate,resetAvgCfi
25,0.0008468598668901331,2.519687813847279e-05,0.0006904199482200518,2.058755211477161e-05
35,0.00018410999125000876,1.156564489534787e-05,0.00015008999043000958,9.54982610812172e-06
45,4.2749994530005475e-05,5.681198278080157e-06,3.504999758000242e-05,4.661966976375128e-06
55,1.0009999560000442e-05,2.5771380195927704e-06,8.09999998000002e-06,2.0668862199948154e-06
65,1.70999993000007e-06,9.635358808296329e-07,1.34999972000028e-06,7.30249234508023e-07
queueLen,mineAvgLate,mineCfi,resetAvgLate,resetAvgCfi
25,0.0008468598668901331,2.519687813847279e-05,0.0006904199482200518,2.058755211477161e-05
35,0.00018410999125000876,1.156564489534787e-05,0.00015008999043000958,9.54982610812172e-06
45,4.2749994530005475e-05,5.681198278080157e-06,3.504999758000242e-05,4.661966976375128e-06
55,1.0009999560000442e-05,2.5771380195927704e-06,8.09999998000002e-06,2.0668862199948154e-06
65,1.70999993000007e-06,9.635358808296329e-07,1.34999972000028e-06,7.30249234508023e-07
queueLen,mineAvgLate,mineCfi,resetAvgLate,resetAvgCfi
25,0.0008468598668901331,2.519687813847279e-05,0.0006904199482200518,2.058755211477161e-05
35,0.00018410999125000876,1.156564489534787e-05,0.00015008999043000958,9.54982610812172e-06
45,4.2749994530005475e-05,5.681198278080157e-06,3.504999758000242e-05,4.661966976375128e-06
55,1.0009999560000442e-05,2.5771380195927704e-06,8.09999998000002e-06,2.0668862199948154e-06
65,1.70999993000007e-06,9.635358808296329e-07,1.34999972000028e-06,7.30249234508023e-07
