-----------------------------------
Adversarial Strategy: reset
Global Inter arrival: 10.0
K:65	 maximum K+N: unbounded
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
Iteration,NumBlocks,NumLateBlocks,fracLateBlocks,SimTime
0,1000000,0,0.0,8.033998999999767
1,1000000,12,1.2e-05,7.373606999999993
2,1000000,0,0.0,9.015191999999843
3,1000000,0,0.0,7.3205699999998615
4,1000000,0,0.0,8.63983700000017
5,1000000,0,0.0,8.01261999999997
6,1000000,0,0.0,7.480990999999904
7,1000000,0,0.0,9.028851000000031
8,1000000,0,0.0,7.3611980000000585
9,1000000,0,0.0,7.413634999999886
10,1000000,0,0.0,7.454586999999719
11,1000000,0,0.0,7.448178999999982
12,1000000,0,0.0,7.457216000000244
13,1000000,0,0.0,8.077092999999877
14,1000000,0,0.0,8.51380700000027
15,1000000,0,0.0,7.404561999999714
16,1000000,0,0.0,7.418335000000297
17,1000000,0,0.0,8.93993300000011
18,1000000,9,9e-06,7.669120999999905
19,1000000,0,0.0,8.07016399999975
20,1000000,0,0.0,8.520108000000164
21,1000000,0,0.0,7.3475939999998445
22,1000000,0,0.0,8.955947999999808
23,1000000,2,2e-06,7.569760999999744
24,1000000,0,0.0,7.364235999999892
25,1000000,7,7e-06,7.369115999999849
26,1000000,0,0.0,7.360885000000053
27,1000000,0,0.0,7.053175999999894
28,1000000,0,0.0,7.0560199999999895
29,1000000,0,0.0,7.052429000000302
30,1000000,0,0.0,7.080319000000145
31,1000000,0,0.0,7.055723999999827
32,1000000,0,0.0,7.058442000000014
33,1000000,0,0.0,7.062506000000212
34,1000000,0,0.0,7.057032000000163
35,1000000,0,0.0,7.050833999999668
36,1000000,0,0.0,7.075252000000091
37,1000000,4,4e-06,7.045368000000053
38,1000000,0,0.0,7.044199999999819
39,1000000,0,0.0,7.053059000000303
40,1000000,9,9e-06,7.060304000000087
41,1000000,0,0.0,7.047652000000198
42,1000000,4,4e-06,7.057015999999749
43,1000000,0,0.0,7.054306999999881
44,1000000,3,3e-06,7.054035999999996
45,1000000,17,1.7e-05,7.095664999999826
46,1000000,0,0.0,7.103012999999919
47,1000000,0,0.0,7.099985999999717
48,1000000,0,0.0,7.0990170000000035
49,1000001,0,0.0,7.092458000000079
50,1000000,10,1e-05,7.093816000000061
51,1000000,4,4e-06,7.077300999999807
52,1000000,0,0.0,7.10100199999988
53,1000000,0,0.0,7.091686999999638
54,1000000,0,0.0,7.053745000000163
55,1000000,0,0.0,7.054223000000093
56,1000001,0,0.0,7.051816000000144
57,1000000,2,2e-06,7.077600999999959
58,1000000,0,0.0,7.099623999999949
59,1000000,0,0.0,7.0790539999998146
60,1000001,0,0.0,7.0965470000001005
61,1000000,0,0.0,7.053427000000283
62,1000000,0,0.0,7.057706000000053
63,1000000,0,0.0,7.0726709999999
64,1000000,0,0.0,7.055029999999988
65,1000001,0,0.0,7.057863999999881
66,1000000,3,3e-06,7.108237000000372
67,1000000,34,3.4e-05,7.096391999999923
68,1000000,0,0.0,7.101279999999861
69,1000000,0,0.0,7.041851999999835
70,1000000,0,0.0,7.059123999999883
71,1000000,0,0.0,7.046924000000217
72,1000000,0,0.0,7.0570730000004005
73,1000000,0,0.0,7.052149999999983
74,1000000,8,8e-06,7.0432780000001
75,1000000,0,0.0,7.0442119999997885
76,1000000,0,0.0,7.041578999999729
77,1000000,0,0.0,7.04227899999978
78,1000000,9,9e-06,7.053093999999874
79,1000000,2,2e-06,7.0568020000000615
80,1000000,0,0.0,7.05269700000008
81,1000000,0,0.0,7.0412020000003395
82,1000000,0,0.0,7.047493000000031
83,1000000,0,0.0,7.044793999999911
84,1000000,0,0.0,7.040695000000142
85,1000000,0,0.0,7.0595720000001165
86,1000000,0,0.0,7.0445629999999255
87,1000000,0,0.0,7.0500090000000455
88,1000000,0,0.0,7.036142999999811
89,1000000,0,0.0,7.0398190000000795
90,1000000,4,4e-06,7.031327999999576
91,1000000,0,0.0,7.041693000000123
92,1000000,4,4e-06,7.049815000000308
93,1000000,0,0.0,7.059063000000151
94,1000000,0,0.0,7.048192000000199
95,1000000,0,0.0,7.084060000000136
96,1000000,0,0.0,7.045851000000312
97,1000000,0,0.0,7.062276999999995
98,1000000,7,7e-06,7.042500999999902
99,1000000,0,0.0,7.051832999999988
