-----------------------------------
Adversarial Strategy: reset
Global Inter arrival: 10.0
K:25	 maximum K+N: unbounded
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
Iteration,NumBlocks,NumLateBlocks,fracLateBlocks,SimTime
0,1000000,636,0.000636,7.316273
1,1000000,790,0.00079,8.853598
2,1000000,617,0.000617,8.032528000000003
3,1000000,694,0.000694,7.909191
4,1000000,591,0.000591,8.928915000000003
5,1000001,523,0.000522999477000523,7.496006999999999
6,1000000,556,0.000556,8.996586999999998
7,1000000,558,0.000558,7.847589999999997
8,1000000,745,0.000745,7.521761999999995
9,1000000,667,0.000667,8.046898999999996
10,1000000,626,0.000626,8.741458000000009
11,1000000,762,0.000762,7.4954740000000015
12,1000000,586,0.000586,9.030284999999992
13,1000000,650,0.00065,7.673921000000007
14,1000000,665,0.000665,8.448289000000003
15,1000000,609,0.000609,8.426441999999994
16,1000000,630,0.00063,7.471336000000008
17,1000000,658,0.000658,9.191451
18,1000001,768,0.000767999232000768,7.480554999999981
19,1000000,636,0.000636,8.760468000000003
20,1000000,533,0.000533,8.16201000000001
21,1000000,747,0.000747,7.571177999999975
22,1000000,852,0.000852,9.112173999999982
23,1000000,553,0.000553,7.451712999999984
24,1000000,716,0.000716,8.904397000000017
25,1000000,620,0.00062,7.9162600000000225
26,1000000,755,0.000755,7.970482000000004
27,1000000,590,0.00059,8.837592
28,1000000,577,0.000577,7.420285000000007
29,1000000,563,0.000563,8.988730000000004
30,1000000,750,0.00075,7.760198000000003
31,1000000,523,0.000523,8.315792999999985
32,1000000,697,0.000697,8.515467999999998
33,1000000,632,0.000632,7.475842
34,1000000,876,0.000876,9.187944000000016
35,1000000,636,0.000636,7.496744999999976
36,1000000,600,0.0006,8.685428000000002
37,1000000,590,0.00059,8.200198999999998
38,1000000,554,0.000554,7.474302000000023
39,1000000,606,0.000606,9.170048000000008
40,1000000,811,0.000811,7.5078040000000215
41,1000000,665,0.000665,7.455960000000005
42,1000001,649,0.000648999351000649,8.772125000000017
43,1000000,710,0.00071,8.11577699999998
44,1000000,803,0.000803,7.603030999999987
45,1000000,782,0.000782,9.117596000000049
46,1000000,552,0.000552,7.491853999999989
47,1000000,537,0.000537,8.902056000000016
48,1000000,866,0.000866,7.920406999999955
49,1000000,749,0.000749,7.984137999999973
50,1000000,741,0.000741,8.746947999999975
51,1000000,677,0.000677,7.4733830000000125
52,1000000,596,0.000596,7.457639999999969
53,1000000,572,0.000572,8.967710000000011
54,1000000,564,0.000564,7.806504999999959
55,1000000,690,0.00069,8.192876000000012
56,1000000,667,0.000667,8.630430999999987
57,1000000,597,0.000597,7.451984000000039
58,1000000,670,0.00067,9.114745999999968
59,1000000,564,0.000564,7.594842000000028
60,1000000,483,0.000483,8.532804999999996
61,1000000,609,0.000609,8.326922000000025
62,1000000,666,0.000666,7.479216000000008
63,1000000,728,0.000728,9.163520999999946
64,1000000,648,0.000648,7.4410440000000335
65,1000000,602,0.000602,8.794578000000001
66,1000000,764,0.000764,8.117771000000062
67,1000000,766,0.000766,7.674866999999949
68,1000000,769,0.000769,9.045394000000101
69,1000000,860,0.00086,7.518474999999967
70,1000000,549,0.000549,8.943274000000088
71,1000001,424,0.000423999576000424,7.832369000000085
72,1000000,621,0.000621,7.507131999999956
73,1000000,463,0.000463,7.820638000000031
74,1000000,662,0.000662,8.895245000000045
75,1000000,624,0.000624,7.464043999999944
76,1000000,718,0.000718,8.969149000000016
77,1000000,507,0.000507,7.7257450000000745
78,1000000,802,0.000802,8.244115999999963
79,1000000,633,0.000633,8.581556999999975
80,1000000,511,0.000511,7.451581000000033
81,1000000,622,0.000622,9.130008999999973
82,1000000,653,0.000653,7.567200000000071
83,1000000,549,0.000549,8.56073200000003
84,1000000,570,0.00057,8.291517999999996
85,1000000,755,0.000755,7.503267000000051
86,1000000,777,0.000777,9.178205000000048
87,1000000,671,0.000671,7.473846999999978
88,1000000,867,0.000867,8.835044999999923
89,1000000,680,0.00068,8.060667999999964
90,1000000,621,0.000621,7.692223000000013
91,1000000,373,0.000373,8.943926000000033
92,1000001,675,0.000674999325000675,7.456327999999985
93,1000000,686,0.000686,7.488992999999937
94,1000000,815,0.000815,8.876055000000065
95,1000000,608,0.000608,7.965221000000042
96,1000000,554,0.000554,7.836804999999913
97,1000000,537,0.000537,8.89709599999992
98,1000000,713,0.000713,7.47088999999994
99,1000000,537,0.000537,8.958243000000039
