-----------------------------------
Adversarial Strategy: reset
Global Inter arrival: 10.0
K:35	 maximum K+N: unbounded
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
Iteration,NumBlocks,NumLateBlocks,fracLateBlocks,SimTime
0,1000000,211,0.000211,8.241442000000006
1,1000000,236,0.000236,8.509642999999983
2,1000000,127,0.000127,8.88151599999992
3,1000000,151,0.000151,7.776434999999992
4,1000000,167,0.000167,9.417761999999925
5,1000000,88,8.8e-05,7.678105999999957
6,1000000,69,6.9e-05,9.08098300000006
7,1000000,122,0.000122,8.216357000000016
8,1000000,227,0.000227,8.165056999999933
9,1000000,141,0.000141,9.005721999999992
10,1000000,139,0.000139,7.6863819999999805
11,1000000,209,0.000209,9.347219999999993
12,1000000,176,0.000176,7.786595000000034
13,1000000,142,0.000142,7.685010999999918
14,1000000,114,0.000114,8.725683000000004
15,1000000,79,7.9e-05,8.51833499999998
16,1000000,141,0.000141,7.701639
17,1000001,105,0.000104999895000105,9.380676999999991
18,1000000,215,0.000215,7.7039969999999585
19,1000000,172,0.000172,9.174398999999994
20,1000000,93,9.3e-05,8.052228999999897
21,1000000,177,0.000177,7.714374000000021
22,1000000,147,0.000147,8.392711000000077
23,1000000,128,0.000128,8.85500300000001
24,1000000,174,0.000174,7.693974000000026
25,1000000,184,0.000184,9.467006999999967
26,1000000,191,0.000191,8.506012999999939
27,1000000,140,0.00014,8.487267999999972
28,1000000,121,0.000121,7.72453500000006
29,1000000,159,0.000159,9.189066000000025
30,1000000,166,0.000166,8.083748000000014
31,1000000,86,8.6e-05,8.551884999999857
32,1000000,114,0.000114,8.697924999999941
33,1000000,125,0.000125,7.723905000000059
34,1000000,217,0.000217,9.395951000000196
35,1000000,159,0.000159,7.77216599999997
36,1000000,120,0.00012,9.093838000000005
37,1000000,134,0.000134,8.178487999999788
38,1000000,109,0.000109,8.225817000000006
39,1000000,140,0.00014,8.98448099999996
40,1000000,94,9.4e-05,7.741835000000037
41,1000000,136,0.000136,9.417639000000008
42,1000000,198,0.000198,7.829676999999947
43,1000000,167,0.000167,9.063364000000092
44,1000000,225,0.000225,8.307252999999946
45,1000000,165,0.000165,8.086941999999908
46,1000000,116,0.000116,9.114741999999978
47,1000000,82,8.2e-05,7.660149000000047
48,1000000,311,0.000311,7.751931999999897
49,1000000,201,0.000201,9.318354
50,1000000,143,0.000143,7.872152000000142
51,1000000,173,0.000173,8.75884700000006
52,1000000,115,0.000115,8.526935000000094
53,1000000,127,0.000127,7.73753499999998
54,1000000,139,0.000139,7.717057999999952
55,1000000,213,0.000213,9.400083999999879
56,1000000,139,0.000139,7.68301600000018
57,1000000,174,0.000174,9.14044899999999
58,1000001,194,0.000193999806000194,8.148429999999962
59,1000000,121,0.000121,7.720417999999881
60,1000000,84,8.4e-05,8.283738000000085
61,1000000,131,0.000131,8.938433999999916
62,1000000,167,0.000167,7.7193509999999605
63,1000000,134,0.000134,9.390628000000106
64,1000000,112,0.000112,7.727930999999899
65,1000000,99,9.9e-05,7.732762000000093
66,1000000,191,0.000191,8.9675850000001
67,1000000,169,0.000169,8.407081000000062
68,1000000,163,0.000163,7.997398999999859
69,1000000,194,0.000194,9.235300999999936
70,1000000,139,0.000139,7.802008000000114
71,1000000,65,6.5e-05,9.303970000000163
72,1000000,103,0.000103,7.896007999999938
73,1000000,130,0.00013,8.801545000000033
74,1000000,215,0.000215,8.573815000000195
75,1000000,101,0.000101,7.957754000000023
76,1000000,160,0.00016,9.363282000000027
77,1000000,98,9.8e-05,7.805360999999948
78,1000000,259,0.000259,9.35276900000008
79,1000000,112,0.000112,8.070363000000043
80,1000000,119,0.000119,8.785750000000007
81,1000000,141,0.000141,8.512451000000056
82,1000000,188,0.000188,7.764366999999993
83,1000000,122,0.000122,9.392574999999852
84,1000000,117,0.000117,7.756501999999955
85,1000000,278,0.000278,9.242341000000124
86,1000000,187,0.000187,8.075379999999996
87,1000001,174,0.000173999826000174,8.65093899999988
88,1000000,183,0.000183,8.699308999999857
89,1000000,102,0.000102,7.661113999999998
90,1000001,157,0.000156999843000157,7.654913000000079
91,1000000,55,5.5e-05,9.37480400000004
92,1000001,186,0.000185999814000186,7.697034999999914
93,1000000,139,0.000139,9.023543000000018
94,1000001,141,0.000140999859000141,8.221033999999918
95,1000000,122,0.000122,7.7410339999999
96,1000000,174,0.000174,8.032496000000037
97,1000000,78,7.8e-05,9.149057999999968
98,1000000,271,0.000271,7.689289000000144
99,1000000,101,0.000101,9.260815999999977
