-----------------------------------
Adversarial Strategy: reset
Global Inter arrival: 10.0
K:45	 maximum K+N: unbounded
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
Iteration,NumBlocks,NumLateBlocks,fracLateBlocks,SimTime
0,1000000,43,4.3e-05,7.88165499999991
1,1000000,82,8.2e-05,8.716889999999921
2,1000000,23,2.3e-05,8.520158999999921
3,1000000,18,1.8e-05,7.711817999999994
4,1000000,58,5.8e-05,9.372176999999965
5,1000000,16,1.6e-05,7.7091669999999795
6,1000000,2,2e-06,7.693180999999868
7,1000000,24,2.4e-05,9.090457000000015
8,1000000,89,8.9e-05,8.10312900000008
9,1000000,36,3.6e-05,7.706471999999849
10,1000000,12,1.2e-05,8.217705000000024
11,1000001,64,6.3999936000064e-05,8.935602000000017
12,1000000,25,2.5e-05,7.686693999999989
13,1000000,9,9e-06,9.29431199999999
14,1000000,31,3.1e-05,7.767121999999972
15,1000000,12,1.2e-05,8.873790999999983
16,1000000,29,2.9e-05,8.347757000000001
17,1000000,37,3.7e-05,7.835702000000083
18,1000000,68,6.8e-05,9.239313000000038
19,1000000,33,3.3e-05,7.6783040000000256
20,1000000,14,1.4e-05,9.200492999999824
21,1000000,34,3.4e-05,7.913647000000083
22,1000000,25,2.5e-05,7.702544999999873
23,1000000,42,4.2e-05,8.46604400000001
24,1000000,21,2.1e-05,8.787645999999995
25,1000000,52,5.2e-05,7.6843679999999495
26,1000000,34,3.4e-05,9.37479499999995
27,1000001,13,1.2999987000013e-05,7.68472399999996
28,1000001,15,1.4999985000015e-05,7.704637000000048
29,1000000,65,6.5e-05,8.953674000000092
30,1000000,32,3.2e-05,8.290340999999898
31,1000000,11,1.1e-05,8.009450000000015
32,1000001,4,3.999996000004e-06,9.122041999999965
33,1000001,20,1.999998000002e-05,7.691745999999966
34,1000000,34,3.4e-05,7.660953000000063
35,1000000,19,1.9e-05,9.193768999999975
36,1000000,31,3.1e-05,7.921128000000181
37,1000000,28,2.8e-05,8.613749999999982
38,1000000,13,1.3e-05,8.63381500000014
39,1000000,30,3e-05,7.694663999999875
40,1000000,0,0.0,9.36335699999995
41,1000001,33,3.2999967000033e-05,7.698529000000008
42,1000000,72,7.2e-05,7.705579000000171
43,1000000,45,4.5e-05,9.059698000000026
44,1000000,37,3.7e-05,8.19431499999996
45,1000000,57,5.7e-05,8.170073999999886
46,1000000,39,3.9e-05,8.990658000000167
47,1000000,26,2.6e-05,7.678188999999975
48,1000000,100,0.0001,7.698102000000063
49,1000000,45,4.5e-05,9.26368699999989
50,1000000,1,1e-06,7.828895000000102
51,1000000,57,5.7e-05,8.776021000000128
52,1000000,19,1.9e-05,8.461714999999913
53,1000000,45,4.5e-05,7.698902000000089
54,1000000,14,1.4e-05,9.361468999999943
55,1000001,78,7.7999922000078e-05,7.672661000000062
56,1000001,15,1.4999985000015e-05,9.12424400000009
57,1000000,71,7.1e-05,8.054395000000113
58,1000000,49,4.9e-05,7.704811999999947
59,1000000,12,1.2e-05,8.307434999999714
60,1000000,25,2.5e-05,8.868832999999995
61,1000000,18,1.8e-05,7.676115000000209
62,1000000,45,4.5e-05,9.36586699999998
63,1000000,10,1e-05,7.694547000000057
64,1000000,14,1.4e-05,8.977980000000116
65,1000000,11,1.1e-05,8.306671000000279
66,1000000,51,5.1e-05,7.705646999999772
67,1000000,52,5.2e-05,7.834435000000212
68,1000000,24,2.4e-05,9.24495300000035
69,1000000,33,3.3e-05,7.629447000000255
70,1000000,51,5.1e-05,9.200289999999768
71,1000000,8,8e-06,7.971924999999828
72,1000000,17,1.7e-05,7.6785789999999
73,1000000,20,2e-05,8.428010000000086
74,1000000,85,8.5e-05,8.743689999999788
75,1000000,19,1.9e-05,7.665128000000095
76,1000000,33,3.3e-05,7.695154000000002
77,1000000,10,1e-05,9.36980100000028
78,1000000,83,8.3e-05,7.710761000000275
79,1000000,23,2.3e-05,8.980903000000126
80,1000000,34,3.4e-05,8.28660600000012
81,1000000,10,1e-05,7.705540999999812
82,1000000,62,6.2e-05,7.863126000000193
83,1000000,35,3.5e-05,9.22380800000019
84,1000000,20,2e-05,7.686920999999984
85,1000000,88,8.8e-05,7.705418000000009
86,1000000,42,4.2e-05,9.200693000000228
87,1000000,68,6.8e-05,7.937924000000294
88,1000000,36,3.6e-05,8.473711000000094
89,1000000,5,5e-06,8.749284999999873
90,1000000,72,7.2e-05,7.665001999999731
91,1000000,8,8e-06,9.347287999999935
92,1000000,50,5e-05,7.707608000000164
93,1000000,31,3.1e-05,9.00785900000028
94,1000000,26,2.6e-05,8.19618999999966
95,1000000,25,2.5e-05,8.119563000000198
96,1000000,64,6.4e-05,9.00901900000008
97,1000000,19,1.9e-05,7.661957999999686
98,1000000,94,9.4e-05,7.688380000000052
99,1000000,21,2.1e-05,9.247991999999613
