-----------------------------------
Adversarial Strategy: mine
Global Inter arrival: 10.0
K:35	 maximum K+N: unbounded
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
Iteration,NumBlocks,NumLateBlocks,fracLateBlocks,SimTime
0,1000000,216,0.000216,9.018834999999967
1,1000000,254,0.000254,7.374546000000009
2,1000000,143,0.000143,8.743871000000013
3,1000000,166,0.000166,7.952878000000055
4,1000000,177,0.000177,7.541915000000017
5,1000001,118,0.000117999882000118,8.916160999999988
6,1000000,96,9.6e-05,7.353241999999909
7,1000000,131,0.000131,8.723745000000008
8,1000000,244,0.000244,7.842604000000051
9,1000000,193,0.000193,7.677699999999959
10,1000000,191,0.000191,8.806594000000018
11,1000001,223,0.000222999777000223,7.405125999999996
12,1000000,120,0.00012,8.831214000000045
13,1000000,166,0.000166,7.707840000000033
14,1000000,176,0.000176,7.415761999999972
15,1000000,93,9.3e-05,7.559814999999958
16,1000000,172,0.000172,8.944174999999973
17,1000000,147,0.000147,7.314854999999966
18,1000000,191,0.000191,8.827332999999953
19,1000001,160,0.00015999984000016,7.813389000000029
20,1000001,99,9.8999901000099e-05,7.796887999999967
21,1000000,201,0.000201,8.777688000000012
22,1000000,227,0.000227,7.374465999999984
23,1000001,116,0.000115999884000116,8.896857999999952
24,1000000,198,0.000198,7.7464630000000625
25,1000000,194,0.000194,7.392998999999918
26,1000001,194,0.000193999806000194,7.709483999999975
27,1000000,124,0.000124,8.81681900000001
28,1000000,99,9.9e-05,7.339945999999941
29,1000000,165,0.000165,8.791763999999944
30,1000000,178,0.000178,7.755566000000044
31,1000000,90,9e-05,7.835491999999931
32,1000000,166,0.000166,8.683769999999868
33,1000000,148,0.000148,7.37482399999999
34,1000000,254,0.000254,8.871630000000096
35,1000000,132,0.000132,7.669790999999805
36,1000000,130,0.00013,8.01903500000003
37,1000001,117,0.000116999883000117,8.56211200000007
38,1000000,119,0.000119,7.361818999999969
39,1000000,120,0.00012,8.908038999999917
40,1000000,259,0.000259,7.580985000000055
41,1000000,146,0.000146,8.247360999999955
42,1000000,207,0.000207,8.40068899999983
43,1000000,236,0.000236,7.377236999999923
44,1000000,250,0.00025,8.961725999999999
45,1000000,258,0.000258,7.484905000000026
46,1000001,146,0.000145999854000146,7.380999999999858
47,1000000,88,8.8e-05,8.157858999999917
48,1000000,285,0.000285,8.473719999999958
49,1000000,197,0.000197,7.356811000000107
50,1000000,197,0.000197,8.947798000000148
51,1000000,182,0.000182,7.527129999999943
52,1000000,124,0.000124,8.254138000000012
53,1000000,177,0.000177,8.356847000000016
54,1000000,138,0.000138,7.401542000000063
55,1000000,197,0.000197,9.05354699999998
56,1000000,191,0.000191,7.4128820000000815
57,1000000,159,0.000159,8.42964599999982
58,1000000,177,0.000177,8.174289000000044
59,1000000,82,8.2e-05,7.34046699999999
60,1000000,101,0.000101,9.005881000000045
61,1000000,154,0.000154,7.3926470000001245
62,1000000,180,0.00018,8.57112700000016
63,1000000,198,0.000198,8.048375000000078
64,1000000,134,0.000134,7.38341400000013
65,1000001,115,0.000114999885000115,9.042952000000014
66,1000000,263,0.000263,7.356031999999914
67,1000000,277,0.000277,7.41848200000004
68,1000000,218,0.000218,8.49256000000014
69,1000000,225,0.000225,8.207452999999987
70,1000000,86,8.6e-05,7.391575000000103
71,1000000,86,8.6e-05,9.041468000000123
72,1000000,102,0.000102,7.352237000000059
73,1000000,51,5.1e-05,8.568547999999964
74,1000000,185,0.000185,8.071957999999995
75,1000000,120,0.00012,7.409916000000067
76,1000000,167,0.000167,7.325812000000042
77,1000000,79,7.9e-05,9.015060999999832
78,1000000,335,0.000335,7.423970999999938
79,1000000,207,0.000207,8.567699999999832
80,1000000,120,0.00012,8.063603999999941
81,1000000,137,0.000137,7.415422999999919
82,1000000,189,0.000189,9.031312999999955
83,1000000,136,0.000136,7.32578599999988
84,1000001,144,0.000143999856000144,8.666715999999951
85,1000000,183,0.000183,8.03218599999991
86,1000000,204,0.000204,7.463463000000047
87,1000000,173,0.000173,8.978980999999976
88,1000000,277,0.000277,7.350175000000036
89,1000001,120,0.00011999988000012,8.752343999999994
90,1000000,166,0.000166,7.867017000000033
91,1000001,46,4.5999954000046e-05,7.527230000000145
92,1000001,169,0.000168999831000169,8.950599000000011
93,1000000,148,0.000148,7.343366999999944
94,1000001,229,0.000228999771000229,8.773106000000098
95,1000000,98,9.8e-05,7.822982999999795
96,1000000,136,0.000136,7.715427000000091
97,1000000,72,7.2e-05,8.812425000000076
98,1000000,255,0.000255,7.328882000000021
99,1000000,89,8.9e-05,8.82500600000003
