-----------------------------------
Adversarial Strategy: mine
Global Inter arrival: 10.0
K:55	 maximum K+N: unbounded
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
Iteration,NumBlocks,NumLateBlocks,fracLateBlocks,SimTime
0,1000000,11,1.1e-05,8.951645000000099
1,1000000,34,3.4e-05,7.414700999999695
2,1000000,3,3e-06,7.346061000000191
3,1000000,0,0.0,7.3420060000003105
4,1000000,15,1.5e-05,7.795961000000261
5,1000000,0,0.0,8.61906799999997
6,1000001,0,0.0,7.290825000000041
7,1000000,0,0.0,7.283467000000201
8,1000000,21,2.1e-05,7.2868029999999635
9,1000000,11,1.1e-05,7.333927000000131
10,1000000,0,0.0,7.348109000000022
11,1000001,26,2.5999974000026e-05,8.111014999999952
12,1000000,0,0.0,8.340192000000116
13,1000000,0,0.0,7.283143999999993
14,1000000,5,5e-06,7.274081000000024
15,1000000,0,0.0,7.289327999999841
16,1000000,1,1e-06,7.2879149999998845
17,1000000,16,1.6e-05,8.599465999999666
18,1000000,26,2.6e-05,7.906645000000026
19,1000000,1,1e-06,7.342450000000099
20,1000000,0,0.0,7.292591999999786
21,1000000,8,8e-06,7.277350000000297
22,1000000,7,7e-06,8.89862200000016
23,1000000,16,1.6e-05,7.438122999999905
24,1000000,0,0.0,7.341579999999794
25,1000000,34,3.4e-05,7.284848000000238
26,1000000,13,1.3e-05,7.692065000000184
27,1000001,0,0.0,8.633105000000342
28,1000000,3,3e-06,7.225304000000051
29,1000000,38,3.8e-05,7.240240999999969
30,1000000,4,4e-06,7.332025000000158
31,1000000,1,1e-06,8.486903999999868
32,1000000,0,0.0,8.05891900000006
33,1000000,3,3e-06,7.29979800000001
34,1000000,3,3e-06,7.291083999999955
35,1000000,0,0.0,7.297354000000269
36,1000000,2,2e-06,8.838193000000047
37,1000000,0,0.0,7.554607000000033
38,1000000,0,0.0,7.349557000000004
39,1000000,12,1.2e-05,7.358014999999796
40,1000000,0,0.0,7.533300999999938
41,1000000,3,3e-06,8.845360999999684
42,1000000,24,2.4e-05,7.303725000000213
43,1000000,7,7e-06,7.303594999999859
44,1000000,18,1.8e-05,7.340733999999884
45,1000001,18,1.7999982000018e-05,7.364614999999958
46,1000000,13,1.3e-05,7.364452999999685
47,1000000,6,6e-06,7.905216999999993
48,1000000,29,2.9e-05,8.5202519999998
49,1000000,2,2e-06,7.296026999999867
50,1000000,0,0.0,7.2911019999996824
51,1000000,24,2.4e-05,7.288956999999755
52,1000000,4,4e-06,8.616023000000041
53,1000000,9,9e-06,7.912665999999717
54,1000000,0,0.0,7.350426999999854
55,1000000,30,3e-05,7.313574000000244
56,1000000,1,1e-06,8.966329999999743
57,1000000,36,3.6e-05,7.262522999999874
58,1000000,3,3e-06,7.333172000000104
59,1000000,0,0.0,7.323902000000089
60,1000000,9,9e-06,7.98689000000013
61,1000000,0,0.0,8.422767000000022
62,1000000,4,4e-06,7.2937620000002426
63,1000000,0,0.0,7.291357999999946
64,1000000,0,0.0,7.300940999999966
65,1000000,0,0.0,8.667965000000095
66,1000000,13,1.3e-05,7.802111000000423
67,1000000,29,2.9e-05,7.349233999999797
68,1000000,5,5e-06,7.313576000000012
69,1000000,0,0.0,7.29534300000023
70,1000000,18,1.8e-05,8.949448000000302
71,1000000,0,0.0,7.341263000000254
72,1000000,0,0.0,7.336542000000009
73,1000000,0,0.0,7.33920900000021
74,1000000,55,5.5e-05,7.822889000000032
75,1000000,0,0.0,8.57589999999982
76,1000000,9,9e-06,7.287549000000126
77,1000000,0,0.0,7.277639000000363
78,1000000,41,4.1e-05,7.224153000000115
79,1000000,0,0.0,8.600860000000011
80,1000000,11,1.1e-05,7.876472999999805
81,1000000,0,0.0,7.328620000000228
82,1000000,17,1.7e-05,7.282956000000013
83,1000000,0,0.0,8.913630999999896
84,1000000,9,9e-06,7.347947000000204
85,1000000,37,3.7e-05,7.341554999999971
86,1000000,12,1.2e-05,7.347717999999986
87,1000000,16,1.6e-05,7.888043999999809
88,1000000,2,2e-06,8.518799999999828
89,1000000,0,0.0,7.291555999999673
90,1000000,35,3.5e-05,7.306510000000344
91,1000000,0,0.0,7.284001000000444
92,1000000,18,1.8e-05,7.326404000000366
93,1000000,9,9e-06,7.343436999999994
94,1000000,1,1e-06,8.231471000000056
95,1000000,13,1.3e-05,8.217125000000124
96,1000000,32,3.2e-05,7.291305000000193
97,1000000,8,8e-06,7.288626000000022
98,1000000,57,5.7e-05,7.266867000000275
99,1000000,0,0.0,8.771095999999943
