-----------------------------------
Adversarial Strategy: mine
Global Inter arrival: 10.0
K:45	 maximum K+N: unbounded
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
Iteration,NumBlocks,NumLateBlocks,fracLateBlocks,SimTime
0,1000000,56,5.6e-05,7.687903000000006
1,1000000,91,9.1e-05,7.61590799999999
2,1000000,24,2.4e-05,8.712809000000107
3,1000000,25,2.5e-05,7.31213200000002
4,1000000,66,6.6e-05,7.275671000000102
5,1000000,21,2.1e-05,8.648993999999902
6,1000000,3,3e-06,7.897714999999835
7,1000000,29,2.9e-05,7.376994999999852
8,1000000,100,0.0001,7.326567999999952
9,1000000,48,4.8e-05,8.90889100000004
10,1000000,17,1.7e-05,7.306344000000081
11,1000000,79,7.9e-05,8.508972999999969
12,1000000,34,3.4e-05,8.019227
13,1000000,9,9e-06,7.290637000000061
14,1000001,37,3.6999963000037e-05,8.95491200000015
15,1000000,13,1.3e-05,7.291832999999997
16,1000000,33,3.3e-05,8.544819999999845
17,1000000,41,4.1e-05,7.9830040000001645
18,1000000,85,8.5e-05,7.318758000000116
19,1000000,37,3.7e-05,8.954193999999916
20,1000000,16,1.6e-05,7.284804000000122
21,1000000,38,3.8e-05,7.271307999999863
22,1000000,28,2.8e-05,8.261160000000018
23,1000000,46,4.6e-05,8.180239000000029
24,1000000,26,2.6e-05,7.288860999999997
25,1000000,70,7e-05,8.89658200000008
26,1000000,43,4.3e-05,7.3661500000000615
27,1000001,16,1.5999984000016e-05,7.348657000000003
28,1000001,21,2.0999979000021e-05,8.034934000000021
29,1000000,87,8.7e-05,8.391118000000006
30,1000000,35,3.5e-05,7.297652000000198
31,1000000,11,1.1e-05,7.269302999999809
32,1000000,5,5e-06,8.74653400000011
33,1000000,25,2.5e-05,7.685183000000052
34,1000000,51,5.1e-05,7.77795900000001
35,1000000,20,2e-05,8.611355000000003
36,1000001,37,3.6999963000037e-05,7.22792800000002
37,1000001,32,3.1999968000032e-05,8.766819000000169
38,1000000,17,1.7e-05,7.656379000000015
39,1000000,39,3.9e-05,7.334080999999969
40,1000000,0,0.0,7.544947999999977
41,1000000,40,4e-05,8.820642000000134
42,1000000,81,8.1e-05,7.297694000000092
43,1000000,59,5.9e-05,7.269248000000061
44,1000000,45,4.5e-05,8.567348000000038
45,1000000,67,6.7e-05,7.920759999999973
46,1000000,44,4.4e-05,7.327453000000105
47,1000000,28,2.8e-05,8.960252999999966
48,1000000,118,0.000118,7.265985000000001
49,1000001,53,5.2999947000053e-05,7.286518999999998
50,1000000,1,1e-06,8.41508900000008
51,1000000,71,7.1e-05,8.079295000000002
52,1000000,21,2.1e-05,7.303707000000031
53,1000001,55,5.4999945000055e-05,7.260655999999926
54,1000000,21,2.1e-05,8.889948999999888
55,1000000,98,9.8e-05,7.4595180000001164
56,1000000,19,1.9e-05,7.345474000000195
57,1000000,90,9e-05,7.818586000000096
58,1000000,58,5.8e-05,8.542500999999902
59,1000000,17,1.7e-05,7.288809000000128
60,1000000,34,3.4e-05,8.794636999999966
61,1000000,23,2.3e-05,7.619738999999754
62,1000000,54,5.4e-05,7.8906990000000405
63,1000000,12,1.2e-05,8.524449999999888
64,1000000,18,1.8e-05,7.288250000000062
65,1000000,13,1.3e-05,7.277194000000236
66,1000001,70,6.999993000007e-05,8.643707999999606
67,1000000,63,6.3e-05,7.729593999999906
68,1000000,30,3e-05,7.341100999999981
69,1000000,37,3.7e-05,7.333029999999781
70,1000000,61,6.1e-05,8.952784999999949
71,1000000,8,8e-06,7.2933100000000195
72,1000000,19,1.9e-05,7.34191600000031
73,1000000,30,3e-05,8.488043999999718
74,1000000,107,0.000107,8.033007999999882
75,1000001,23,2.2999977000023e-05,7.290417000000161
76,1000000,40,4e-05,8.978293000000122
77,1000000,12,1.2e-05,7.3201439999998
78,1000000,111,0.000111,7.291264999999839
79,1000000,27,2.7e-05,8.238078999999743
80,1000001,44,4.3999956000044e-05,8.18150999999989
81,1000000,12,1.2e-05,7.284075999999914
82,1000000,70,7e-05,7.287688999999773
83,1000000,39,3.9e-05,8.82770900000014
84,1000000,36,3.6e-05,7.565948999999819
85,1000001,99,9.8999901000099e-05,7.3603879999996025
86,1000000,62,6.2e-05,7.683554000000186
87,1000000,85,8.5e-05,8.589030999999977
88,1000000,43,4.3e-05,7.255268999999771
89,1000000,5,5e-06,8.73521299999993
90,1000000,83,8.3e-05,7.692553999999745
91,1000000,12,1.2e-05,7.70796799999971
92,1000001,60,5.999994000006e-05,8.625499000000218
93,1000000,35,3.5e-05,7.265806000000339
94,1000000,29,2.9e-05,7.267476999999872
95,1000000,30,3e-05,8.622431000000233
96,1000000,81,8.1e-05,7.8205259999999726
97,1000000,20,2e-05,7.351781000000301
98,1000000,118,0.000118,7.25544600000012
99,1000000,23,2.3e-05,7.311706999999842
