-----------------------------------
Adversarial Strategy: reset
Global Inter arrival: 10.0
K:55	 maximum K+N: unbounded
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
Iteration,NumBlocks,NumLateBlocks,fracLateBlocks,SimTime
0,1000000,2,2e-06,7.6245020000001205
1,1000000,39,3.9e-05,8.159697999999935
2,1000000,3,3e-06,8.405975000000126
3,1000000,0,0.0,7.330435999999736
4,1000000,2,2e-06,8.982409999999618
5,1000000,0,0.0,7.530327999999827
6,1000000,0,0.0,8.332926000000043
7,1000000,0,0.0,8.334433999999874
8,1000000,19,1.9e-05,7.388476999999966
9,1000000,8,8e-06,9.038070000000062
10,1000000,9,9e-06,7.475001999999677
11,1000000,10,1e-05,7.4070190000002185
12,1000000,0,0.0,8.292982000000393
13,1000000,0,0.0,8.335542999999689
14,1000000,0,0.0,7.361882000000151
15,1000000,0,0.0,9.031817000000046
16,1000000,0,0.0,7.448190000000068
17,1000000,10,1e-05,7.397050999999919
18,1000000,20,2e-05,8.228158000000349
19,1000000,0,0.0,8.39270899999974
20,1000000,0,0.0,7.367040999999972
21,1000000,7,7e-06,9.005216000000019
22,1000000,5,5e-06,7.492816999999832
23,1000000,13,1.3e-05,8.414480000000367
24,1000000,5,5e-06,8.255126000000018
25,1000000,23,2.3e-05,7.353343999999652
26,1000000,6,6e-06,9.053761000000122
27,1000000,0,0.0,7.400955999999951
28,1000000,0,0.0,8.562898000000132
29,1000000,17,1.7e-05,8.098402000000078
30,1000000,3,3e-06,7.383597999999893
31,1000000,0,0.0,9.054360999999972
32,1000000,9,9e-06,7.371642999999949
33,1000000,2,2e-06,8.668416999999863
34,1000000,1,1e-06,8.013921999999639
35,1000000,0,0.0,7.4219020000000455
36,1000000,2,2e-06,7.37710799999968
37,1000000,14,1.4e-05,9.055512999999792
38,1000000,0,0.0,7.366901000000325
39,1000000,0,0.0,8.628334999999879
40,1000000,28,2.8e-05,8.06427900000017
41,1000000,1,1e-06,7.409500000000207
42,1000000,24,2.4e-05,9.053212000000258
43,1000000,11,1.1e-05,7.357902000000195
44,1000000,25,2.5e-05,8.705777000000126
45,1000000,38,3.8e-05,7.954209999999875
46,1000000,12,1.2e-05,7.557276000000002
47,1000000,0,0.0,8.953344000000016
48,1000000,19,1.9e-05,7.374141000000236
49,1000001,0,0.0,8.782240000000002
50,1000000,18,1.8e-05,7.850623999999698
51,1000000,21,2.1e-05,7.736003999999866
52,1000000,0,0.0,8.8165240000003
53,1000000,13,1.3e-05,7.3597789999998895
54,1000000,0,0.0,8.846695000000182
55,1000000,12,1.2e-05,7.731905000000097
56,1000001,1,9.99999000001e-07,7.918226000000232
57,1000000,12,1.2e-05,8.59105899999986
58,1000000,0,0.0,7.365056999999979
59,1000000,0,0.0,8.891869999999926
60,1000000,4,4e-06,7.630411999999978
61,1000000,3,3e-06,7.408198999999968
62,1000000,2,2e-06,7.793772999999874
63,1000000,0,0.0,8.706148999999641
64,1000000,0,0.0,7.370456999999988
65,1000001,0,0.0,8.860877999999957
66,1000000,24,2.4e-05,7.701952999999776
67,1000000,57,5.7e-05,7.9853079999998045
68,1000000,5,5e-06,8.616762000000108
69,1000000,2,2e-06,7.385744000000159
70,1000000,0,0.0,8.947819999999865
71,1000000,0,0.0,7.604765000000043
72,1000000,0,0.0,7.415128999999979
73,1000000,0,0.0,7.94993999999997
74,1000000,16,1.6e-05,8.634231999999884
75,1000000,3,3e-06,7.3656630000000405
76,1000000,8,8e-06,8.91763600000013
77,1000000,0,0.0,7.644900000000234
78,1000001,32,3.1999968000032e-05,8.144414999999753
79,1000000,13,1.3e-05,8.49216800000022
80,1000000,9,9e-06,7.382254000000103
81,1000000,4,4e-06,8.991259999999784
82,1000000,12,1.2e-05,7.5382220000001325
83,1000000,0,0.0,8.358682000000044
84,1000000,6,6e-06,8.32150700000011
85,1000000,0,0.0,7.379903000000013
86,1000000,8,8e-06,9.058669999999893
87,1000000,11,1.1e-05,7.414222000000336
88,1000000,2,2e-06,8.527532999999949
89,1000000,0,0.0,8.170869000000039
90,1000000,22,2.2e-05,7.373532000000068
91,1000000,0,0.0,9.071621999999934
92,1000000,14,1.4e-05,7.366226999999981
93,1000000,2,2e-06,7.409411999999975
94,1000000,1,1e-06,8.470551000000341
95,1000000,0,0.0,8.21465199999966
96,1000000,0,0.0,7.376196000000164
97,1000000,0,0.0,9.066895999999815
98,1000000,21,2.1e-05,7.387584999999945
99,1000000,0,0.0,8.615349000000151
