-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,65,45,64,129905813,1000000,770,0.00077,630.0108079999991
1,65,45,64,129891491,1000000,832,0.000832,626.436359000003
2,65,45,64,129899837,1000000,822,0.000822,636.085028999998
3,65,45,64,129881322,1000000,742,0.000742,632.8535760000013
4,65,45,64,129904058,1000000,707,0.000707,637.4323000000004
5,65,45,64,129922530,1000000,773,0.000773,634.9549170000028
6,65,45,64,129897046,1000000,721,0.000721,632.1140860000014
7,65,45,64,129907780,1000000,788,0.000788,629.8537269999979
8,65,45,64,129886267,1000000,799,0.000799,628.0634030000001
9,65,45,64,129876829,1000000,799,0.000799,632.6308289999979
