-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,65,25,64,128651874,1000000,10267,0.010267,634.2088380000005
1,65,25,64,128660399,1000000,10320,0.01032,630.0569130000003
2,65,25,64,128639938,1000000,10501,0.010501,626.3566029999993
3,65,25,64,128651734,1000000,10176,0.010176,621.9662490000001
4,65,25,64,128650988,1000000,10278,0.010278,624.5070680000008
5,65,25,64,128655324,1000000,10469,0.010469,610.6243799999993
6,65,25,64,128633096,1000000,10397,0.010397,617.888277
7,65,25,64,128629894,1000000,10352,0.010352,626.5031880000006
8,65,25,64,128651024,1000000,10132,0.010132,631.4346880000012
9,65,25,64,128601068,1000000,10516,0.010516,628.4619640000001
