-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,65,55,64,129958280,1000000,207,0.000207,624.1909899999991
1,65,55,64,129965436,1000000,212,0.000212,611.8152399999999
2,65,55,64,129964852,1000000,220,0.00022,598.6168019999968
3,65,55,64,129947080,1000000,206,0.000206,612.4442240000026
4,65,55,64,129976879,1000000,217,0.000217,611.4415169999993
5,65,55,64,129985171,1000000,205,0.000205,614.9284079999998
6,65,55,64,129971451,1000000,205,0.000205,625.1377990000001
7,65,55,64,129981708,1000000,212,0.000212,632.9095249999991
8,65,55,64,129954220,1000000,230,0.00023,611.3075099999987
9,65,55,64,129940258,1000000,219,0.000219,614.0465619999995
