-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,65,15,64,124667967,1000000,40696,0.040696,616.354865
1,65,15,64,124686554,1000000,40679,0.040679,611.2859429999999
2,65,15,64,124684318,1000000,40525,0.040525,618.275523
3,65,15,64,124679124,1000000,40557,0.040557,617.9876100000001
4,65,15,64,124687748,1000000,40397,0.040397,611.4677269999997
5,65,15,64,124697024,1000000,40599,0.040599,608.073331
6,65,15,64,124695254,1000000,40414,0.040414,610.8359090000004
7,65,15,64,124670335,1000000,40763,0.040763,608.4649929999996
8,65,15,64,124645876,1000000,40724,0.040724,618.5603070000006
9,65,15,64,124709130,1000000,40397,0.040397,613.2682340000001
