-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,35,15,64,124660813,1000000,40763,0.040763,866.001125
1,35,15,64,124695595,1000000,40648,0.040648,864.565404
2,35,15,64,124698260,1000000,40492,0.040492,864.3688809999999
3,35,15,64,124674965,1000000,40620,0.04062,867.3713349999998
4,35,15,64,124685319,1000000,40474,0.040474,866.0764279999999
5,35,15,64,124696987,1000000,40578,0.040578,866.0570379999999
6,35,15,64,124693268,1000000,40431,0.040431,864.7949419999995
7,35,15,64,124654795,1000000,40870,0.04087,864.1011520000002
8,35,15,64,124643136,1000000,40695,0.040695,866.3475069999995
9,35,15,64,124713489,1000000,40331,0.040331,865.8564149999993
