-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,35,45,64,129915656,1000000,767,0.000767,856.999401000001
1,35,45,64,129892299,1000000,834,0.000834,857.3335289999995
2,35,45,64,129894129,1000000,828,0.000828,855.5394459999989
3,35,45,64,129885961,1000000,746,0.000746,856.6381629999996
4,35,45,64,129909034,1000000,706,0.000706,854.8017599999985
5,35,45,64,129927164,1000000,770,0.00077,856.9090849999993
6,35,45,64,129903187,1000000,732,0.000732,856.3608110000023
7,35,45,64,129919706,1000000,773,0.000773,856.760929
8,35,45,64,129882682,1000000,796,0.000796,854.6341709999979
9,35,45,64,129874828,1000000,782,0.000782,854.6201910000018
