-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,25,55,64,129968777,1000000,210,0.00021,616.5176869999996
1,25,55,64,129967258,1000000,212,0.000212,616.2037100000016
2,25,55,64,129962042,1000000,216,0.000216,616.344302999998
3,25,55,64,129945106,1000000,210,0.00021,606.9764849999992
4,25,55,64,129978497,1000000,226,0.000226,598.7498540000015
5,25,55,64,129985267,1000000,208,0.000208,596.8985769999999
6,25,55,64,129970732,1000000,206,0.000206,594.4735710000023
7,25,55,64,129994434,1000000,208,0.000208,590.8223099999959
8,25,55,64,129959986,1000000,233,0.000233,593.0364370000025
9,25,55,64,129942490,1000000,220,0.00022,591.1206600000005
