-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,25,15,64,124647813,1000000,40856,0.040856,603.4330699999991
1,25,15,64,124683664,1000000,40749,0.040749,606.2783079999972
2,25,15,64,124696201,1000000,40651,0.040651,604.9491539999981
3,25,15,64,124679164,1000000,40603,0.040603,606.5290539999987
4,25,15,64,124673233,1000000,40560,0.04056,604.3034960000005
5,25,15,64,124667646,1000000,40765,0.040765,603.3021589999989
6,25,15,64,124669960,1000000,40626,0.040626,601.1707690000003
7,25,15,64,124673726,1000000,40815,0.040815,600.2137509999993
8,25,15,64,124649835,1000000,40725,0.040725,601.3353260000004
9,25,15,64,124701462,1000000,40521,0.040521,607.1948269999993
