-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,25,65,64,129997844,1000000,58,5.8e-05,587.8209820000047
1,25,65,64,129976139,1000000,65,6.5e-05,587.7968999999939
2,25,65,64,129997997,1000000,62,6.2e-05,587.6128650000028
3,25,65,64,129961333,1000000,66,6.6e-05,616.630889
4,25,65,64,129994878,1000000,69,6.9e-05,623.2908030000035
5,25,65,64,130009748,1000000,61,6.1e-05,617.6896100000013
6,25,65,64,130002434,1000000,72,7.2e-05,624.1645910000007
7,25,65,64,129984701,1000000,60,6e-05,616.5545350000029
8,25,65,64,129971977,1000000,70,7e-05,610.7337780000016
9,25,65,64,129985413,1000000,50,5e-05,595.7866849999991
