-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,45,55,64,129962560,1000000,207,0.000207,853.8554929999955
1,45,55,64,129968576,1000000,207,0.000207,854.9624909999984
2,45,55,64,129966241,1000000,217,0.000217,857.1680009999982
3,45,55,64,129946717,1000000,207,0.000207,855.1693509999895
4,45,55,64,129979993,1000000,221,0.000221,856.3958310000016
5,45,55,64,129984938,1000000,204,0.000204,856.7201839999907
6,45,55,64,129971852,1000000,206,0.000206,854.6264340000052
7,45,55,64,129985921,1000000,211,0.000211,855.6272489999974
8,45,55,64,129956248,1000000,231,0.000231,856.6327430000092
9,45,55,64,129940550,1000000,217,0.000217,855.1414010000008
