-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,45,45,64,129908058,1000000,785,0.000785,855.8349650000018
1,45,45,64,129895247,1000000,834,0.000834,855.5909309999988
2,45,45,64,129901035,1000000,826,0.000826,854.8198679999914
3,45,45,64,129882815,1000000,733,0.000733,856.492425000004
4,45,45,64,129908395,1000000,709,0.000709,857.0963860000047
5,45,45,64,129922450,1000000,778,0.000778,857.433303999991
6,45,45,64,129901372,1000000,718,0.000718,856.4843309999997
7,45,45,64,129907870,1000000,783,0.000783,857.605264999991
8,45,45,64,129886476,1000000,795,0.000795,857.2431740000029
9,45,45,64,129881753,1000000,788,0.000788,854.7377819999965
