-----------------------------------
Adversarial Strategy: ds
Global Inter arrival: 10.0
adversary fraction: 0.3333333333333333
Block Processing Time: 5.0
-----------------------------------
itr,QueueLen,ConstTh,ResetTh,NumBlocks,NumAttack,NumSuccessAttack,fracSuccessAttack,SimTime
0,15,15,64,124600812,1000000,41519,0.041519,522.628201
1,15,15,64,124646803,1000000,41255,0.041255,521.0366909999999
2,15,15,64,124616991,1000000,41439,0.041439,521.835127
3,15,15,64,124663613,1000000,41024,0.041024,520.9800789999999
4,15,15,64,124627067,1000000,41368,0.041368,521.6006729999999
5,15,15,64,124643656,1000000,41358,0.041358,520.683254
6,15,15,64,124633703,1000000,41295,0.041295,529.9176630000002
7,15,15,64,124613355,1000000,41451,0.041451,529.9213129999998
8,15,15,64,124647699,1000000,41022,0.041022,534.3891780000004
9,15,15,64,124670034,1000000,41227,0.041227,536.0515850000002
