t,c0,c20,c50,c60,c100
0.010802779162024729,0.334,0.334,0.332,0.332,0.330
0.12234736791221543,0.395,0.384,0.368,0.362,0.338
0.20470394799009692,0.461,0.442,0.409,0.398,0.348
0.26,0.524,0.497,0.451,0.434,0.359
